Sr No.,Name,Roll No,Branch,Python-1,SQL,Calculus-1,Python-2,Hackathon-1,Calculus-2,SM-1,Linear Algebra,Discrete Mathematics,Hackathon-2,DSA,SM-2
1,Felicia Johnson,STU0001,B.Tech AIDS,62.42,46.54,66.19,88.08,44.15,44.15,89.48,69.19,38.26,63.56,38.41,38.36
2,Joseph Gutierrez,STU0002,B.Tech AIDS,56.05,2.17,6.88,35.94,24.68,57.86,27.3,14.69,86.64,44.36,51.69,14.38
3,Kimberly Garrett,STU0003,B.Tech AIML,36.39,52.77,21.23,59.39,34.98,42.71,34.96,96.31,49.66,23.56,70.56,19.48
4,Darlene Carrillo,STU0004,B.Tech AIML,55.22,1.01,16.8,54.92,68.46,54.28,47.11,42.47,13.04,32.0,38.48,76.43
5,Patrick Webb,STU0005,B.Tech AIDS,58.59,5.92,58.1,40.37,33.08,65.29,75.77,73.28,29.02,42.27,58.28,74.39
6,Evan Pittman,STU0006,B.Tech AIDS,38.02,45.36,22.34,20.09,70.31,83.91,48.2,75.09,59.04,33.87,59.03,88.45
7,Renee Skinner,STU0007,B.Tech CSE,49.1,89.12,0.0,70.55,52.18,42.52,52.29,0.31,44.51,58.93,86.95,37.04
8,Amber Morris,STU0008,B.Tech AIDS,29.79,37.46,72.89,58.22,36.76,62.83,52.43,74.22,32.45,41.81,40.2,13.41
9,Diane Collier,STU0009,B.Tech AIDS,57.4,56.53,50.13,44.14,14.62,39.48,41.43,29.94,45.97,60.1,97.15,54.36
10,Christina Jimenez,STU0010,B.Tech AIML,56.44,48.14,2.03,49.34,51.51,100.0,45.19,57.54,49.13,20.78,78.57,68.8
11,Kathleen Carr,STU0011,B.Tech CSE,69.78,27.27,85.07,14.95,64.67,100.0,25.24,35.84,52.49,37.41,11.23,51.71
12,Mr. Brent Harris,STU0012,B.Tech AIDS,23.44,61.84,27.01,88.75,30.42,41.95,70.34,19.23,55.69,82.68,9.81,54.62
13,Hannah Martinez,STU0013,B.Tech AIML,56.5,69.55,19.08,16.99,63.05,57.42,56.26,58.66,33.0,55.81,57.33,32.14
14,Leah Bruce MD,STU0014,B.Tech AIML,96.64,61.85,20.22,66.41,25.63,69.68,78.96,29.48,74.08,60.32,70.55,97.42
15,Chelsea Jackson,STU0015,B.Tech CSE,43.87,31.16,27.76,29.6,48.07,58.53,56.92,70.68,50.33,86.34,43.38,100.0
16,Scott Ewing,STU0016,B.Tech AIML,65.64,28.57,23.23,62.06,44.41,67.85,61.83,48.18,28.83,12.13,38.84,71.41
17,Michelle Andrews,STU0017,B.Tech CSE,55.35,18.86,54.33,59.63,27.9,53.84,51.46,21.43,58.94,64.02,77.08,76.35
